scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first
1,4.4445,128,64,300,0.2687,0.7315,0.2287,0.002287
1,4.4445,128,64,300,0.2587,0.6315,0.2187,0.002187
1,4.4445,128,64,300,0.2937,0.6315,0.3087,0.003087
1,4.4445,128,64,300,0.187,0.5103,0.0815,0.000815
1,4.4445,128,64,300,0.574,0.9117,0.2891,0.002891
1,4.4445,128,64,300,0.2133,0.6828,0.129,0.00129
1,4.4445,128,64,300,0.1967,0.5718,0.1571,0.001571
1,4.4445,128,64,300,0.1784,0.956,0.167,0.00167
1,4.4445,128,64,300,0.4543,0.8694,0.144,0.00144
1,4.4445,128,64,300,0.2212,0.5318,0.1887,0.001887
1,4.4445,128,64,300,0.196,0.5453,0.1274,0.001274
1,4.4445,128,64,300,0.2141,0.6305,0.0957,0.000957
1,4.4445,128,64,300,0.2157,0.6991,0.2045,0.002045
1,4.4445,128,64,500,0.2245,1.1168,0.1121,0.001121
1,4.4445,128,64,500,0.2251,0.5017,0.2025,0.002025
1,4.4445,128,64,500,0.2423,0.5162,0.1368,0.001368
1,4.4445,128,64,500,0.2552,0.6022,0.1447,0.001447
1,4.4445,128,64,500,0.2004,0.6017,0.141,0.00141
1,4.4445,128,64,500,0.1929,0.5017,0.1745,0.001745
1,4.4445,128,64,500,0.1721,0.4015,0.1455,0.001455
1,4.4445,128,64,1000,0.1603,0.2071,0.0529,0.000529
1,4.4445,128,64,1000,0.1611,0.7925,0.0232,0.000232
1,4.4445,128,64,1000,0.1319,0.4577,0.0249,0.000249
1,4.4445,128,64,1000,0.1682,0.6539,0.0562,0.000562
1,4.4445,128,64,1000,0.1456,0.5454,0.0373,0.000373
1,4.4445,128,64,1000,0.1427,0.4891,0.06,0.0006
1,4.4445,128,64,1000,0.1419,0.4651,0.0316,0.000316
1,4.4445,128,64,1000,0.1422,0.4809,0.0413,0.000413
1,4.4445,128,64,1000,0.1537,0.5216,0.0534,0.000534
1,4.4445,128,64,1000,0.1685,0.6871,0.0435,0.000435
1,4.4445,128,64,1000,0.1439,0.5527,0.0432,0.000432
1,4.4445,128,64,1000,0.1333,0.3915,0.0206,0.000206
1,4.4445,128,64,1000,0.1368,0.4687,0.0342,0.000342
1,4.4445,128,64,1000,0.1362,0.4091,0.0246,0.000246
1,4.4445,128,64,1000,0.1579,0.6408,0.0272,0.000272
1,4.4445,128,64,1000,0.1707,0.5954,0.0459,0.000459
1,4.4445,128,64,2000,0.0762,0.4007,0.0212,0.000212
1,4.4445,128,64,2000,0.1774,0.4169,0.0282,0.000282
1,4.4445,128,64,2000,0.0904,0.4008,0.0211,0.000211
1,4.4445,128,64,2000,0.0729,0.3006,0.0324,0.000324
1,4.4445,128,64,2000,0.0946,0.3022,0.0211,0.000211
1,4.4445,128,64,5000,0.0544,0.4005,0.0131,0.000131
1,4.4445,128,64,5000,0.0762,0.4007,0.0212,0.000212
1,4.4445,128,64,5000,0.1774,0.4169,0.0282,0.000282
1,4.4445,128,64,5000,0.0904,0.4008,0.0211,0.000211
1,4.4445,128,64,5000,0.0729,0.3006,0.0324,0.000324
1,4.4445,128,64,5000,0.0946,0.3022,0.0211,0.000211
1,4.4445,128,64,5000,0.0996,0.2067,0.0289,0.000289
1,4.4445,128,64,5000,0.0997,0.2074,0.0183,0.000183
1,4.4445,128,64,10000,0.0751,0.1126,0.0172,0.000172
1,4.4445,128,64,10000,0.0717,0.1349,0.0142,0.000142
1,4.4445,128,64,10000,0.0858,0.1912,0.0167,0.000167
1,4.4445,128,64,10000,0.0706,0.191,0.0097,9.7E-05
1,4.4445,128,64,10000,0.0963,0.0923,0.018,0.00018
1,4.4445,128,64,12000,0.0649,0.1021,0.0056,5.6E-05
1,4.4445,128,64,12000,0.0675,0.1055,0.0143,0.000143
1,4.4445,128,64,12000,0.0661,0.1052,0.0066,6.6E-05
1,4.4445,128,64,12000,0.0695,0.0596,0.0094,9.4E-05
1,4.4445,128,64,12000,0.0608,0.0552,0.0099,9.9E-05
1,4.4445,128,64,12000,0.0674,0.0563,0.0081,8.1E-05
2,,,,60,0.1973,0.5115,0.5744,0.005744
2,,,,60,0.2061,0.5117,0.585,0.00585
2,,,,60,0.1992,0.5123,0.5279,0.005279
2,,,,60,0.1756,0.5051,0.4128,0.004128
2,,,,60,0.1463,0.4017,0.565,0.00565
2,,,,60,0.2128,0.4013,0.5137,0.005137
2,,,,60,0.1901,0.5018,0.4706,0.004706
2,,,,60,0.1502,0.4018,0.567,0.00567
2,,,,60,1.7142,0.4016,0.5509,0.005509
2,,,,60,1.5843,0.4418,0.5767,0.005767
2,,,,60,1.739,0.4417,0.4649,0.004649
2,,,,60,0.1934,0.4418,0.4803,0.004803
2,,,,60,0.1828,0.6017,0.1733,0.001733
2,,,,60,0.197,0.5011,0.2113,0.002113
2,,,,60,0.1719,0.4013,0.2295,0.002295
