scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first,note
0,4.45,128,96,20000,0.0909,0.3464,0.0426,0.1201,
0,4.45,128,96,20000,0.0969,0.3442,0.0493,0.1081,
0,4.45,96,64,300,0.1822,0.6342,0.1379,0.0014, lr_schedule = 0.001
0,4.45,96,64,300,0.2184,0.7507,0.1031,0.0011,
0,4.45,96,64,300,0.1527,0.6888,0.1176,0.1946,
0,4.45,96,64,300,0.3438,0.724,0.1384,0.0908,
0,4.45,96,64,300,0.1874,0.6101,0.14,0.0014,
0,4.45,96,64,300,0.2623,1.1021,0.2222,0.0021,
0,4.45,96,64,300,0.2233,0.5118,0.1612,0.0015,
0,4.45,96,64,300,0.2227,0.7083,0.184,0.0019,
0,4.45,128,64,20000,0.0901,0.2677,0.0442,0.0198,
0,4.45,128,64,20000,0.0894,0.26,0.0429,0.0055,
0,4.45,128,64,20000,0.0932,0.2765,0.0447,0.0124,
0,4.45,128,64,20000,0.0956,0.2878,0.0456,0.0129,
0,4.45,128,64,300,0.1784,0.6405,0.1516,0.0016,
0,4.45,128,64,300,0.5044,0.753,0.0999,0.001,
0,4.45,128,64,300,0.3183,0.5329,0.1516,0.0014,
0,4.45,96,64,300,0.1611,0.5731,0.1231,0.0013,
0,4.45,96,64,300,0.1546,0.5497,0.117,0.0012,
0,4.45,96,64,300,0.1654,0.491,0.1368,0.0014,
0,4.45,96,64,300,0.1735,0.6879,0.1842,0.0018,
0,4.45,96,64,300,0.1957,0.5946,0.1563,0.0016,
0,4.45,96,64,300,0.1582,0.5758,0.1284,0.0013,
0,4.45,96,64,300,0.1564,0.5802,0.1589,0.0016,
0,4.45,96,64,500,0.1894,0.5969,0.1544,0.0015,
0,4.45,96,64,500,0.1617,0.5338,0.1173,0.0013,
0,4.45,96,64,500,0.1552,0.5348,0.1408,0.0014,
0,4.45,96,64,500,0.155,0.5807,0.1388,0.0015,
0,4.45,96,64,300,0.1537,0.5113,0.1116,0.001,
0,4.45,96,64,300,0.1704,0.7187,0.1369,0.0014,
0,4.45,96,64,300,0.1526,0.515,0.1134,0.0012,
0,4.45,96,64,300,0.1589,0.6499,0.1074,0.0011,
0,4.45,96,64,300,0.1484,0.582,0.1365,0.0012,
0,4.6,96,64,12000,0.0867,0.2899,0.0427,0.0156,
0,4.6,96,64,12000,0.0858,0.2944,0.0428,0.0202,
0,4.6,96,64,12000,0.078,0.26,0.0341,0.0004,
0,4.6,96,64,12000,0.0826,0.2713,0.0384,0.0165,
0,4.6,96,64,12000,0.0799,0.2592,0.0358,0.0004,
0,4.6,96,64,300,0.1386,0.6001,0.1412,0.0014,
0,4.6,96,64,300,0.1293,0.5771,0.105,0.0011,
0,4.6,96,64,300,0.1498,0.6279,0.12,0.0013,
0,4.6,96,64,300,0.1739,0.8147,0.1857,0.0019,
0,4.6,96,64,300,0.1222,0.5211,0.1342,0.0015,
0,4.6,96,64,300,0.1463,0.6913,0.1149,0.0012,
0,4.6,96,64,300,0.1643,0.6694,0.1633,0.0017,
0,4.6,96,64,300,0.1536,0.6353,0.1277,0.0013,
0,4.6,96,64,300,0.1441,0.5044,0.127,0.0012,
0,4.6,96,64,300,0.1545,0.5382,0.1369,0.0015,
0,4.6,96,64,300,0.1362,0.4766,0.1185,0.0012,
1,4.4445,128,64,300,0.2687,0.7315,0.2287,0.002287,
1,4.4445,128,64,300,0.2587,0.6315,0.2187,0.002187,
1,4.4445,128,64,300,0.2937,0.6315,0.3087,0.003087,
1,4.4445,128,64,300,0.187,0.5103,0.0815,0.000815,
1,4.4445,128,64,300,0.574,0.9117,0.2891,0.002891,
1,4.4445,128,64,300,0.2133,0.6828,0.129,0.00129,
1,4.4445,128,64,300,0.1967,0.5718,0.1571,0.001571,
1,4.4445,128,64,300,0.1784,0.956,0.167,0.00167,
1,4.4445,128,64,300,0.4543,0.8694,0.144,0.00144,
1,4.4445,128,64,300,0.2212,0.5318,0.1887,0.001887,
1,4.4445,128,64,300,0.196,0.5453,0.1274,0.001274,
1,4.4445,128,64,300,0.2141,0.6305,0.0957,0.000957,
1,4.4445,128,64,300,0.2157,0.6991,0.2045,0.002045,
1,4.4445,128,64,500,0.2245,1.1168,0.1121,0.001121,
1,4.4445,128,64,500,0.2251,0.5017,0.2025,0.002025,
1,4.4445,128,64,500,0.2423,0.5162,0.1368,0.001368,
1,4.4445,128,64,500,0.2552,0.6022,0.1447,0.001447,
1,4.4445,128,64,500,0.2004,0.6017,0.141,0.00141,
1,4.4445,128,64,500,0.1929,0.5017,0.1745,0.001745,
1,4.4445,128,64,500,0.1721,0.4015,0.1455,0.001455,
1,4.4445,128,64,1000,0.1603,0.2071,0.0529,0.000529,
1,4.4445,128,64,1000,0.1611,0.7925,0.0232,0.000232,
1,4.4445,128,64,1000,0.1319,0.4577,0.0249,0.000249,
1,4.4445,128,64,1000,0.1682,0.6539,0.0562,0.000562,
1,4.4445,128,64,1000,0.1456,0.5454,0.0373,0.000373,
1,4.4445,128,64,1000,0.1427,0.4891,0.06,0.0006,
1,4.4445,128,64,1000,0.1419,0.4651,0.0316,0.000316,
1,4.4445,128,64,1000,0.1422,0.4809,0.0413,0.000413,
1,4.4445,128,64,1000,0.1537,0.5216,0.0534,0.000534,
1,4.4445,128,64,1000,0.1685,0.6871,0.0435,0.000435,
1,4.4445,128,64,1000,0.1439,0.5527,0.0432,0.000432,
1,4.4445,128,64,1000,0.1333,0.3915,0.0206,0.000206,
1,4.4445,128,64,1000,0.1368,0.4687,0.0342,0.000342,
1,4.4445,128,64,1000,0.1362,0.4091,0.0246,0.000246,
1,4.4445,128,64,1000,0.1579,0.6408,0.0272,0.000272,
1,4.4445,128,64,1000,0.1707,0.5954,0.0459,0.000459,
1,4.4445,128,64,2000,0.0762,0.4007,0.0212,0.000212,
1,4.4445,128,64,2000,0.1774,0.4169,0.0282,0.000282,
1,4.4445,128,64,2000,0.0904,0.4008,0.0211,0.000211,
1,4.4445,128,64,2000,0.0729,0.3006,0.0324,0.000324,
1,4.4445,128,64,2000,0.0946,0.3022,0.0211,0.000211,
1,4.4445,128,64,5000,0.0544,0.4005,0.0131,0.000131,
1,4.4445,128,64,5000,0.0762,0.4007,0.0212,0.000212,
1,4.4445,128,64,5000,0.1774,0.4169,0.0282,0.000282,
1,4.4445,128,64,5000,0.0904,0.4008,0.0211,0.000211,
1,4.4445,128,64,5000,0.0729,0.3006,0.0324,0.000324,
1,4.4445,128,64,5000,0.0946,0.3022,0.0211,0.000211,
1,4.4445,128,64,5000,0.0996,0.2067,0.0289,0.000289,
1,4.4445,128,64,5000,0.0997,0.2074,0.0183,0.000183,
1,4.4445,128,64,10000,0.0751,0.1126,0.0172,0.000172,
1,4.4445,128,64,10000,0.0717,0.1349,0.0142,0.000142,
1,4.4445,128,64,10000,0.0858,0.1912,0.0167,0.000167,
1,4.4445,128,64,10000,0.0706,0.191,0.0097,9.7E-05,
1,4.4445,128,64,10000,0.0963,0.0923,0.018,0.00018,
1,4.4445,128,64,12000,0.0649,0.1021,0.0056,5.6E-05,
1,4.4445,128,64,12000,0.0675,0.1055,0.0143,0.000143,
1,4.4445,128,64,12000,0.0661,0.1052,0.0066,6.6E-05,
1,4.4445,128,64,12000,0.0695,0.0596,0.0094,9.4E-05,
1,4.4445,128,64,12000,0.0608,0.0552,0.0099,9.9E-05,
1,4.4445,128,64,12000,0.0674,0.0563,0.0081,8.1E-05,
2,,,,60,0.1973,0.5115,0.5744,0.005744,
2,,,,60,0.2061,0.5117,0.585,0.00585,
2,,,,60,0.1992,0.5123,0.5279,0.005279,
2,,,,60,0.1756,0.5051,0.4128,0.004128,
2,,,,60,0.1463,0.4017,0.565,0.00565,
2,,,,60,0.2128,0.4013,0.5137,0.005137,
2,,,,60,0.1901,0.5018,0.4706,0.004706,
2,,,,60,0.1502,0.4018,0.567,0.00567,
2,,,,60,1.7142,0.4016,0.5509,0.005509,
2,,,,60,1.5843,0.4418,0.5767,0.005767,
2,,,,60,1.739,0.4417,0.4649,0.004649,
2,,,,60,0.1934,0.4418,0.4803,0.004803,
2,,,,60,0.1828,0.6017,0.1733,0.001733,
2,,,,60,0.197,0.5011,0.2113,0.002113,
2,,,,60,0.1719,0.4013,0.2295,0.002295,
2,,,,60,0.228,0.4011,0.2119,0.002119,
2,,,,60,0.2298,0.4012,0.2167,0.002167,
2,,,,60,0.2285,0.3015,0.2653,0.002653,
2,,,,300,0.1795,0.2095,0.3917,0.003917,
2,,,,300,0.1772,0.3095,0.3777,0.003777,
2,,,,300,0.3416,0.3014,0.1999,0.001999,
2,,,,300,0.1873,0.2093,0.1172,0.001172,
2,,,,300,0.1145,0.2216,0.2603,0.002603,
2,,,,300,0.1453,0.3311,0.2057,0.002057,
2,,,,300,0.1358,0.251,0.299,0.00299,
2,,,,300,0.116,0.2518,0.2746,0.002746,
2,,,,300,0.1233,0.2516,0.1596,0.001596,
2,,,,300,0.1285,0.2218,0.2794,0.002794,
2,,,,500,0.0752,0.2101,0.1934,0.001934,
2,,,,500,0.1301,0.1105,0.1484,0.001484,
2,,,,500,0.1276,0.1105,0.1379,0.001379,
2,,,,500,0.091,0.1103,0.1466,0.001466,
